sample_id,cutting_speed,feed_rate,depth_of_cut,tool_nose_radius,material_hardness,tool_life,cutting_force,surface_roughness,power_consumption,material_removal_rate
0,143.64,0.48,2.33,0.88,173.4,186.13,2045.62,0.005,4.539,156.14
1,181.19,0.273,1.23,0.89,170.9,241.33,548.09,0.0014,1.861,60.01
2,99.92,0.306,1.98,0.44,241.1,250.41,1537.1,0.0054,2.366,57.42
3,173.79,0.114,2.77,0.61,249.4,347.54,797.24,0.0004,2.134,55.37
4,292.4,0.41,2.85,1.12,239.7,153.24,2582.61,0.0027,13.3,318.56
5,185.67,0.156,2.51,0.46,298.0,285.31,1131.16,0.001,3.81,76.13
6,242.82,0.13,1.4,0.49,279.5,309.41,534.65,0.0006,2.009,46.53
7,209.39,0.455,1.68,0.5,257.0,172.19,2004.81,0.008,6.86,172.59
8,180.68,0.271,0.56,0.49,154.7,265.25,249.3,0.0029,0.714,26.86
9,238.89,0.192,0.69,0.63,174.2,284.13,242.08,0.001,0.897,32.49
10,273.14,0.316,2.52,1.12,197.7,188.12,1546.06,0.0017,7.065,188.37
11,105.53,0.148,1.34,1.15,198.5,394.69,433.94,0.0005,0.706,20.91
12,290.61,0.201,1.74,0.64,192.7,249.96,660.83,0.0011,3.272,104.1
13,109.89,0.158,1.72,1.19,186.3,353.45,538.67,0.0005,0.97,28.56
14,141.95,0.353,2.08,0.83,163.5,213.02,1262.69,0.0032,2.98,104.44
15,106.62,0.358,0.94,0.95,208.0,257.83,672.93,0.0032,1.295,33.53
16,254.31,0.322,1.82,0.59,164.0,187.08,1022.68,0.0033,3.914,154.02
17,71.03,0.165,2.75,0.89,151.4,386.95,699.45,0.0009,0.892,32.88
18,212.99,0.19,2.28,0.59,198.8,275.77,916.78,0.0011,3.204,88.15
19,141.93,0.206,1.11,1.18,209.0,316.44,486.32,0.0007,1.135,34.82
20,194.23,0.297,0.99,0.98,192.1,246.72,561.38,0.0016,1.898,55.71
21,146.27,0.44,1.29,0.54,233.5,216.56,1345.29,0.0072,3.108,83.9
22,203.75,0.496,0.85,0.81,281.6,200.94,1253.98,0.0051,4.322,89.82
23,252.53,0.447,2.78,0.81,225.2,156.07,2886.51,0.0046,12.375,324.26
24,272.5,0.235,1.44,0.48,236.7,239.8,781.24,0.0019,3.711,90.31
25,59.34,0.429,1.4,0.5,228.3,262.53,1334.06,0.0114,1.318,36.04
26,62.92,0.313,1.85,0.91,258.9,289.74,1543.62,0.0034,1.534,35.6
27,69.61,0.11,2.91,1.07,254.4,407.35,771.04,0.0003,0.929,21.56
28,187.31,0.386,2.15,0.62,293.2,197.64,2640.98,0.004,8.318,149.74
29,239.46,0.106,0.79,0.44,156.1,378.99,133.63,0.0005,0.498,19.95
30,172.9,0.289,0.93,0.75,209.8,278.98,605.62,0.002,1.599,46.82
31,264.12,0.363,0.91,0.46,246.4,233.25,816.87,0.005,3.604,89.99
32,147.04,0.357,1.65,0.84,291.2,227.81,1708.9,0.0029,4.255,90.29
33,55.82,0.426,1.2,0.49,254.5,266.28,1376.37,0.0113,1.275,29.53
34,120.51,0.171,2.38,1.05,298.6,291.87,1143.89,0.0006,2.589,52.77
35,238.64,0.141,2.76,0.8,274.0,284.34,1105.35,0.0004,4.32,92.31
36,287.65,0.329,2.08,0.76,194.0,200.96,1251.38,0.0026,6.594,190.14
37,187.38,0.277,2.72,0.68,167.6,221.05,1289.81,0.002,3.784,142.66
38,71.03,0.38,0.68,1.06,255.9,312.83,652.59,0.0038,0.845,16.55
39,276.59,0.144,1.73,0.41,220.3,320.38,561.04,0.0009,2.611,74.5
40,290.54,0.25,1.21,1.09,183.5,236.1,585.45,0.001,2.709,98.22
41,223.94,0.282,2.07,0.87,285.2,222.75,1848.87,0.0015,5.958,126.65
42,165.92,0.241,1.96,0.46,296.2,231.85,1429.98,0.0024,4.073,81.36
43,154.56,0.473,2.67,0.44,154.0,191.12,2062.29,0.0095,4.587,208.07
44,292.48,0.437,2.6,0.77,212.2,157.68,2403.99,0.0044,11.929,356.81
45,286.19,0.44,1.12,0.76,169.4,183.06,839.67,0.0046,4.123,132.87
46,204.53,0.243,0.78,0.94,228.0,279.63,469.75,0.0011,1.572,41.01
47,150.87,0.154,0.57,1.0,243.0,399.12,203.9,0.0005,0.567,12.09
48,148.06,0.275,2.76,0.68,227.1,229.01,1845.09,0.0023,4.339,112.31
49,114.56,0.284,2.95,0.79,199.3,253.69,1565.88,0.0024,3.257,91.36
50,95.47,0.238,2.74,0.78,250.1,275.39,1603.66,0.0018,2.541,57.9
51,141.07,0.301,2.23,0.43,269.9,232.14,1753.52,0.0042,4.248,93.59
52,251.55,0.399,0.96,0.57,205.6,223.59,778.37,0.0048,2.952,100.67
53,273.8,0.305,1.83,0.49,217.1,193.34,1115.48,0.0034,5.326,141.82
54,55.02,0.229,1.03,0.66,168.0,386.33,417.11,0.0025,0.378,12.38
55,184.28,0.335,2.36,0.75,169.1,206.13,1283.07,0.0025,4.312,159.72
56,139.02,0.495,2.01,0.59,165.3,182.13,1600.84,0.0082,3.75,132.78
57,274.19,0.132,1.81,0.73,297.4,300.83,704.23,0.0004,3.163,68.08
58,92.72,0.367,2.82,0.85,235.7,238.1,2365.34,0.004,3.61,97.54
59,110.6,0.146,2.03,0.63,237.2,313.27,702.31,0.0007,1.257,32.79
60,134.15,0.154,0.66,1.19,198.4,386.89,209.23,0.0004,0.468,13.09
61,152.96,0.24,2.82,1.06,294.8,278.85,2037.47,0.001,5.122,102.66
62,193.62,0.437,0.85,1.04,180.2,204.54,659.69,0.0034,2.275,63.9
63,269.3,0.257,2.54,0.75,206.5,215.51,1225.03,0.0015,6.071,190.63
64,108.05,0.46,1.46,0.83,286.0,206.52,1956.06,0.0061,3.572,69.36
65,248.51,0.348,1.83,1.12,268.3,191.01,1676.17,0.0018,7.401,151.8
66,58.38,0.328,2.41,1.1,201.3,294.7,1566.56,0.0029,1.516,48.29
67,210.29,0.378,1.86,0.6,201.9,204.22,1292.39,0.0045,5.134,147.02
68,88.34,0.334,1.76,0.89,152.7,282.04,933.32,0.0034,1.364,52.8
69,201.68,0.27,2.34,1.15,288.8,212.08,1737.45,0.0011,6.161,134.28
70,197.82,0.26,0.64,0.67,270.4,291.92,396.24,0.0018,1.524,34.78
