material_to_cut,blade_material,cutting_angle_deg,blade_thickness_mm,cutting_speed_m_per_min,applied_force_N,operating_temperature_C,lubrication,friction_coefficient,blade_lifespan_hrs,wear_estimation_pct,cutting_efficiency_pct,performance_score
Titanium,Carbide,19.441948925357615,7.994626045662789,99.32289809358836,1300.2455674462333,206.53887484183468,False,0.783,0.94,52.3,84.7,33.0
Steel,HSS,8.483683761360334,3.4226874866177663,189.58953103697087,720.6570703327701,486.31125721950326,True,0.409,0.33,41.4,62.9,44.2
Titanium,HSS,16.804623948127176,3.9671006917870217,97.80785746362525,458.7101819110719,78.45763838202629,False,0.77,0.23,36.9,83.0,38.7
Titanium,HSS,18.90548265888834,2.140380502581203,140.5853687847138,624.0494968064872,286.44493044034454,True,0.422,0.22,24.9,79.1,55.6
Steel,HSS,11.877071510851586,7.760412796280854,66.72945272927483,684.9749888148608,371.31354120807833,False,0.703,0.53,40.9,82.9,37.3
Steel,HSS,18.87761377416645,6.943228524531471,134.5960146601178,1289.0835948248716,565.4966397835918,True,0.401,0.36,43.9,76.8,48.6
Titanium,HSS,22.684147036586374,7.55508362009233,116.8740100295598,431.89485048455794,447.61397727939595,False,0.813,0.23,47.1,77.0,32.9
Aluminum,HSS,14.442334884664819,3.7146220956265052,129.22958769576417,1492.3271537198725,100.76336073103937,False,0.475,2.6,42.4,78.1,37.3
Titanium,HSS,12.658186563595713,7.499011125822971,142.87721624005906,679.2763093507082,581.9437491628361,False,0.838,0.22,58.7,75.5,28.9
Titanium,Carbide,10.023168027165713,6.771012941546053,51.22195401838475,1027.7882222003823,297.21543189033525,True,0.478,1.17,16.5,77.0,58.1
Titanium,HSS,17.084109597266085,4.928983833776027,74.22730417561914,1344.1941187474927,234.43608536987585,True,0.455,0.29,24.2,86.1,54.3
Titanium,HSS,22.59704096077432,5.502606493075238,152.52344964659505,1132.8782036700625,94.65249998767924,False,0.78,0.22,47.4,69.6,31.7
Steel,Carbide,11.49322534370388,6.543364026187265,49.48831752872283,1358.2437297144475,561.4197098030082,True,0.412,1.86,27.0,76.6,54.7
Titanium,HSS,12.924710490746069,5.946337408700454,81.96322496941116,712.9314572865238,359.999442496915,False,0.841,0.28,41.1,85.6,37.1
Aluminum,Carbide,13.132510350999677,7.134624527754969,139.9661643967567,1930.5548466035004,593.0327648513439,True,0.283,7.15,48.9,78.7,59.4
Steel,HSS,16.216246835550344,3.447836620847961,188.77717733450126,972.0804710569753,120.84220766668656,True,0.372,0.39,35.4,68.7,50.6
Aluminum,Carbide,9.568179231348772,6.325679639329575,33.55403722392153,711.6738586169307,336.5846355403404,False,0.552,8.45,28.1,73.3,52.6
Aluminum,Carbide,21.444223106154084,5.602235862916326,112.98094383632066,663.1485263514516,83.7339946562581,True,0.246,6.45,18.1,89.7,68.9
Aluminum,HSS,10.912045550084425,5.688163952111986,34.7429610627957,181.12044234763158,324.07997955978084,True,0.371,3.2,7.6,76.1,64.5
Aluminum,Carbide,19.10725381793364,5.755056404660762,88.24375117127731,1401.1311511425884,536.0792578575307,False,0.445,7.17,57.3,79.7,45.0
Steel,HSS,15.26431483559104,9.051775710578537,51.569570735722166,598.7790265735439,83.4060941522577,False,0.688,0.46,24.6,74.7,37.6
Steel,HSS,16.717952067055137,8.549019529092924,136.8989160641324,1921.9673920128957,176.39630831644217,True,0.407,0.4,39.1,76.3,48.9
Aluminum,HSS,8.592174776546058,7.036559689364294,156.4098593518449,499.84501621590425,415.79310907978765,False,0.526,3.08,48.8,71.8,36.1
Aluminum,HSS,19.70046396356341,7.73189548481895,64.52177718059906,1106.0332680022043,64.24648092641306,True,0.321,3.38,9.8,80.8,65.7
